DATE,A939RX0Q048SBEA,GDPDEF_NBD20090101
1/1/47,14118.25,12.91147
1/1/48,14447.5,13.63566
1/1/49,14120.25,13.61487
1/1/50,15092.25,13.77644
1/1/51,16032.75,14.76036
1/1/52,16404.5,15.01535
1/1/53,16894.25,15.19877
1/1/54,16503,15.33877
1/1/55,17371.25,15.59665
1/1/56,17431.75,16.12848
1/1/57,17481.75,16.66504
1/1/58,17065.25,17.04214
1/1/59,17942.5,17.27661
1/1/60,18035.75,17.51318
1/1/61,18195.5,17.69844
1/1/62,19016.75,17.91422
1/1/63,19560.5,18.11921
1/1/64,20404.5,18.39605
1/1/65,21459,18.73156
1/1/66,22613.5,19.25681
1/1/67,22982.25,19.81548
1/1/68,23872,20.65809
1/1/69,24376.75,21.67306
1/1/70,24142.5,22.8175
1/1/71,24624.25,23.97273
1/1/72,25642.75,25.00612
1/1/73,26834.25,26.37871
1/1/74,26445.5,28.75969
1/1/75,26134.75,31.41014
1/1/76,27277.5,33.14404
1/1/77,28253.25,35.19898
1/1/78,29503.25,37.6668
1/1/79,30104,40.80566
1/1/80,29681.75,44.49766
1/1/81,30132.75,48.7078
1/1/82,29308,51.71613
1/1/83,30372.75,53.72976
1/1/84,32287.75,55.67391
1/1/85,33336.25,57.43676
1/1/86,34178.75,58.5962
1/1/87,35046.5,60.04063
1/1/88,36180,62.15715
1/1/89,37156.5,64.59813
1/1/90,37435.5,67.02148
1/1/91,36900,69.28405
1/1/92,37694.75,70.86084
1/1/93,38233,72.54132
1/1/94,39294,74.08943
1/1/95,39875,75.64465
1/1/96,40898.75,77.02856
1/1/97,42210,78.35747
1/1/98,43591,79.23902
1/1/99,45144.25,80.38241
1/1/00,46497.25,82.17999
1/1/01,46497,83.98678
1/1/02,46858,85.31385
1/1/03,47754.5,86.89327
1/1/04,49123.5,89.23215
1/1/05,50380.75,92.01286
1/1/06,51329.5,94.8012
1/1/07,51793.5,97.34718
1/1/08,51241.25,99.24844
1/1/09,49501,100
1/1/10,50353.5,101.16207
1/1/11,50765.5,103.27622
1/1/12,51541,105.2588
1/1/13,52130.25,107.10348
1/1/14,53062,109.08342
1/1/15,54213,110.22365
1/1/16,54710.5,111.36309
1/1/17,55646,113.45856
1/1/18,56921.25,116.22269
1/1/19,57432,118.1993
